id_libro,Unidad,Titulo,Autor,Clasificacion
6795,1,BIOGEOGRAFIA,"LACOSTE, ALAIN",QH 84 L144
67839,1,X FESTIVAL DiA DEL LIBRO Y LA ROSA,"SALAS ESTEVES, FEDERICO",PQ 7297 S161
67300,1,ENERGiA SOLAR TERMICA,"MENDEZ MUNIZ, JAVIER MARiA",TJ 810 M538
691,1,SEAMOS PERSONAS DE INFLUENCIA,"MAXWELL, JOHN C.",BF 774 M465
6910,1,FUNDAMENTOS DE ALGEBRA,"WILLERDING, MARGARET F.",QA 154.2 W712
6976,1,PRINCIPLES OF FARM MACHINERY,"KEPNER, R.A.",S 561 K38
6785,1,COMERCIO INTERREGIONAL E INTELECTUAL,"OHLIN, BERTIL",HF 1379 O37
6911,1,QUIMICA ORGANICA,"MCMURRY, JOHN",QD 251.2 M168
67298,1,VIBRATION ANALYSIS AND STRUCTURAL DYNAMICS FOR CIV,"ZINGONI, ALPHOSE",TA 355 Z77
67299,1,"ENERGiAS RENOVABLES : FUNDAMENTOS, TECNOLOGiAS Y A","MADRID VICENTE, ANTONIO",TJ 808 M183
67949,1,ADECUAR LA OFERTA DE EDUCACION A LA DEMANDA DE TRA,,LB 2331.65 A637
6784,1,MAPAS Y DIAGRAMAS,"MONKHOUSE, F.J.",G 3200 M745
7603,1,DICCIONARIO COMERCIAL,"BASULTO, HILDA",HF 1001 B297
7604,1,EL GRAN LIBRO DE CATIA,"TORRECILLA INSAGURBE, EDUARDO",TA 345 T689
7605,1,EL GRAN LIBRO DE CATIA,"TORRECILLA INSAGURBE, EDUARDO",TA 345 T689
67950,1,EL GOBIERNO UNIVERSITARIO EN LA AGENDA ACADEMICA Y,ANUIES,LB 2331.65 A637
7607,1,MICROPRCESSORS AND MICROCOMPUTER SYSTEMS,"RAO, GUTHIKONDA V. PH.D.",QA 7605 R215
7608,1,CURSO DE FORMACION DE INSTRUCTORES HABILES,"REZA TROSINO, JESUS CARLOS",HF 5549.5 R467
7609,1,EL LIBRO DEL AUTOMOVIL,,TL 145 L697
761,1,"TEORIA, EJERCICIOS Y PROBLEMAS DE FISICA MECANICA","PEREZ CASTELLANOS, JOSE HERNAN",QC 32 P438
7614,1,ALMACENAMIENTO Y CONSERVACION DE GRANOS Y SEMILLAS,"RAMIREZ GENEL, MARCOS",SB 190 R173
6913,1,TEORiA Y PROBLEMAS DE GEOMETRiA ANALiTICA,"KINDLE, JOSEPH H.",QA 551 K51
6970,1,TRANSISTORES DE EFECTO DE CAMPO : A METAL Y OXIDO,"RICHMAN, PAUL",TK 7871.9 R532
67837,1,HISTORIA DE LAS MATEMATICAS II,"COLLETE, JEAN-PAUL",QA 21 C698
6912,1,TEORiA Y PROBLEMAS DE GEOMETRiA ANALiTICA,"KINDLE, JOSEPH H.",QA 551 K51
67840,1,COMO PONER UN ALTO A LA INSEGURIDAD EN MEXICO : 5,"DESAFASSIAUX, ALEJANDRO",HV 7431 D453
67835,1,FiSICA PARA INGENIERiA Y CIENCIAS CON FiSICA MODER,"BAUER, WOLFGANG",QC 23 B344
6975,1,FUNDAMENTALS PRINCIPLES OF BACTERIOLOGY,"SALLE, ANTHONY",QR 41.2 S168
67834,1,AGENDA ADUANERA 2018,"MEXICO, LEYES Y DECRETOS",KGF 379 M611
6783,1,FRUTICULTURA : TECNICA Y ECONOMIA DE LOS CULTIVOS,"COUTANCEAU, M.",SB 354 C871
67292,1,FLUCTUATION MECHANISM AND CONTROL ON SYSTEM INSTAN,"YANG, YI",TA 169 Y221
6733,1,COMMUNICATION NETWORKS : FUNDAMENTALS CONCEPTS AND,"LEON-GARCiA, ALBERTO",TK 5101L579
7716,1,TRATADO DE ORATORIA. EL ARTE DE EXPRESARSE,"PROCHOW, HERBERT",PN 4121 P963
69807,1,MECANICA DE MATERIALES,"TIMOSHENKO, STEPHEN P.",TA 405 T585
67836,1,EL SISTEMA DE AHORRO PARA EL RETIRO,"VASQUEZ COLMENARES, PEDRO",KGF 1980.A7 V335
6977,1,ENZYMES IN FOOD PROCESSING,"REED, GERALD",TX 601 R323
67337,1,TIJUANA : CARNAVAL DE LODO,"LEON ZAVALA, RAMIRO",PQ 7298.4 L579
67294,1,EDUCACION DUAL : EXPERIENCIAS EXITOSAS DE VINCULAC,,LC 1064 E244
67295,1,EFICIENCIA EN EL USO DE LA ENERGiA ELECTRICA,,TK 1001 E278
67296,1,MANUAL DE ERGONOMiA Y SEGURIDAD,"RUEDA ORTIZ, MAURY JAVIER",TA 166 R918
67297,1,LA REINA DEL BAILE,,ML 210.4 R364
67829,1,VIBRACIONES EN SISTEMAS FiSICOS,"MAJEWSKI, TADEUSZ",TA 335 M233
67941,1,INTRODUCCION A LA INGENIERiA AEROESPACIAL,"FRANCHINI, SEBASTIAN",TL 787 F816
7578,1,PORTICOS Y ARCOS : SOLUCIONES CONDENSADAS PARA EL,"LEONTOVICH, VALERIAN",TA 660.F7 L586
7579,1,ROBOTICA,"CRAIG, JOHN",TJ 211 C886
758,1,"TEORIA, EJERCICIOS Y PROBLEMAS DE FISICA MECANICA","PEREZ CASTELLANOS, JOSE HERNAN",QC 32 P438
7580,1,INTRODUCTION TO SUPERCONDUCTIVETY,"ROSE-INNES, A.C.",QC 612.58 R795
67939,1,INTRODUCCION A LA INGENIERiA AEROESPACIAL,"FRANCHINI, SEBASTIAN",TL 787 F816
7582,1,EL GRAN LIBRO DE CATIA,"TORRECILLA INSAGURBE, EDUARDO",TA 345 T689
7584,1,A THEORY OF DATA,"COOMBS, CLYDE A.",QA 76.C357 C769
67948,1,PATENTES ACADEMICAS EN MEXICO,ANUIES,LB 2331.65 A637
7610,1,BASES DE DATOS : DESARROLLO DE APLICACIONES MULTIP,"LOPEZ MONTALBAN, IVAN",QA 76.9D32 L864
6814,1,INTERFACE PARA ACOPLAR BASES DE DATOS RELACIONALES,"HERNANDEZ PEREZ, FELIPE DE JESUS",QA 76.6 H558
7575,1,AMERICA LATINA EN LA ECONOMiA INTERNACIONAL; COMPI,,HF 1379 A512
67942,1,PRINCIPLES OF POLYMER CHEMISTRY,"FLORY, PAUL J.",QD 281.P6 F641
6674,1,ESTUDIOS SOBRE PATOGENESIS DE LAS PERTURBACIONES P,"TELLENBACH, HUBER",RC 480 T273
7590,1,CIRCUITOS ELECTRONICOS DIGITALES,"SCHNADOWER BARAN, ISAAC",TK 7867 S357
7591,1,INGENIERIA DE LOS ALIMENTOS,"EARLE, R. L.",TP 370 E12
67943,1,AN INTRODUCTION TO COMPOSITE MATERIALS,"HULL, DEREK",TA 418.9.C6 H913
67944,1,POLYMER SCIENCE AND TECHNOLOGY,"FRIED, JOEL R.",QD 381 F899
7594,1,QUIMICA,"GARRITZ, A.",QD31.2 G241
67945,1,"NMR SPECTROSCOPY : BASIC PRINCIPLES, CONCEPTS, AND","GUNTHER, HARALD",QD 96.N8 G572
7586,1,DISENO SIMPLIFICADO DE CONCRETO REFORZADO,"PARKER, HARRY",TH 1501 P239
7624,1,DESIGN OF MACHINE ELEMENTS,"SPOTTS, M. F.",TS 230 S765
67291,1,HYDROLOGY AND WATER RESOURCE SYSTEMS ANALYSIS,"MIMIKOU, MARIA A.",TC 405 M662
6673,1,LA CELULA,,AE 61 T583
7599,1,EL GRAN LIBRO DE CATIA,"TORRECILLA INSAGURBE, EDUARDO",TA 345 T689
7615,1,DIBUJO TECNICO,"GIESECKE, FREDERICK E.",T 353 G455
7616,1,INGENIERIA SANITARIA,"HARDENBERGH, W. A.",TD 145 H259
67951,1,LA INSERCION LABORAL DE LOS EGRESADOS UNIVERSITARI,ANUIES,LB 2331.65 A637
762,1,MODERN DIFFERENTIAL GEOMETRY OF CURVES AND SURFAC,"GRAY, ALFRED",QA 641 G73
7620,1,QUIMICA ORGANICA,"SOLOMONS, T. W. GRAHAM",QD 251.2 S689
6815,1,MEDICION Y ESTIMACION DEL SOFTWARE: TECNICAS Y MET,,QA 76.76.S65 M43
7622,1,FRUTAS Y VERDURAS,"DUCKWORTH, R. B.",TX 397 D836
67938,1,INTRODUCCION A LA INGENIERiA AEROESPACIAL,"FRANCHINI, SEBASTIAN",TL 787 F816
6813,1,ELEMENTOS DE DERECHO,"MOTO SALAZAR, EFRAiN",KG 356 M917
7630,1,SEGURIDAD INDUSTRIAL,,T 55 .A2 S456
7631,1,"LA SEGURIDAD INDUSTRIAL, SU ADMINISTRACION","GRIMALDI, JOHN V.",T 55.A2 G861
6796,1,EL PROBLEMA DEL RENDIMIENTO ESCOLAR,"GILLY, MICHEL",LB 1062.6 G485
7612,1,BOMBAS : SU SELECCION Y APLICACION,"HICKS, TYLER G.",TJ 900 H631
7587,1,EL METODO EXPERIMENTAL,"GOMEZ ROMERO, JOSE",QC 180.55.M4 G638
73368,1,SISTEMA DE INVENTARIO DE MATERIALES RECICLABLES,"LUNA CORTEZ, KARLA",TESIS TECNOLOGiAS DE LA INFORMACION Y COMUNICACION
73367,1,SISTEMA DE INDENTIFICACION INTELIGENTE BASADO EN T,"FREGOSO LOPEZ, JONATHAN",TESIS TECNOLOGiAS DE LA INFORMACION Y COMUNICACION
7611,1,MATRICES : APLICACIONES MATEMATICAS EN ECONOMiA Y,"KLEIMAN, ARIEL",QA 188 K63
7621,1,TRATAMIENTO DEL AGUA PARA LA INDUSTRIA Y OTROS USO,"NORDELL, ESKEL",TD 430 N829
67372,1,NORMA MEXICANA IMNC,,TS 156.6 N851
67838,1,A QUICK GUIDE TO WELDING AND WELD INSPECTION,"HUGHES, STEVEN",TS 227 H893
6738,1,TEORiA Y PROBLEMAS DE ANALISIS DE FOURIER,"SPIEGEL, MURRAY R.",QA 403.5 S755
67379,1,"SOFTWARE PATTERNS, KNOWLEDGE MAPS, AND DOMAIN ANAL","FAYAD, MOHAMED",QA 76.76.P37 F282
67378,1,CONTRATOS MERCANTILES,"VASQUEZ DEL MERCADO, OSCAR",KGF 202 V393
67377,1,"GAS TURBINES MODELING, SIMULATION, AND CONTROL : U","ASGARI, HAMID",TJ 778 A818
67376,1,FLUID DYNAMICS VIA EXAMPLES AND SOLUTION,"NAZARENKO, SERGEY",QC 809.F5 N335
67375,1,SOLVED PRACTICAL PROBLEMS IN FLUID MECHANICS,"SCHASCHKE, CARL J.",TA 357.3 S211
6966,1,PROTEINS AS HUMAN FOOD : PROCEEDINGS OF THE SIXTEE,,TX 553 P967
6781,1,GEOGRAFiA ECONOMICA DEL PETROLEO,"ODELL, PETER",HD 9560.9 O23
67373,1,NORMA MEXICANA IMNC,,TS 156.6 N851
6972,1,INDUSTRIAL MICROBIOLOGY,"PRESCOTT, SAMUEL CATE",QR 151 P929
67371,1,NORMA MEXICANA IMNC,,TS 156.6 N851
67370,1,NORMA MEXICANA IMNC,,TS 156.6 N851
69691,1,SEQUENTIAL LOGIC AND VERILOG HDL FUNDAMENTALS,"CAVANAGH, JOSEPH",TK 7885.7 C377
69682,1,ESTADiSTICA INFERENCIAL PARA INGENIERIA Y CIENCIAS,"GUTIERREZ GONZALEZ, EDUARDO",QA 276 G984
69689,1,APPLYING SYSTEMIC-STRUCTURAL ACTIVITY THEORY TO DE,"BEDNY, GREGORY Z.",QA 76.9H85 B412
69688,1,APPLIED BICLUSTERING METHODS FOR BIG AND HIGH-DIME,,QA 76.9.B45 A652
69687,1,MECANICA DE MATERIALES,GERE M. JAMES,TA 405 G367
69686,1,FiSICA PARA CIENCIAS E INGENIERiA CON FiSICA MODER,"GIANCOLI, DOUGLAS C.",QC 21.3 G433
67374,1,NORMA MEXICANA IMNC,,TS 156.6 N851
69703,1,THE STAND,"KING, STEPHEN",PS 3561.I483 K521
6952,1,"PLANTEAMIENTO Y PROPOSITOS : BAJA CALIFORNIA, 197","MADRID ROMANDIA, ROBERTO DE LA",F 1246 M178
69701,1,DIGITAL APOLLO : HUMAN AND MACHINE IN SPACEFLIGHT,"MINDELL, DAVID A.",TA 167 M663
69702,1,THE STAND,"KING, STEPHEN",PS 3561.I483 K521
69690,1,DATA CLASSIFICATION : ALGORITHMS AND APPLICATIONS,,QA 76.9F5 D232
6914,1,SEGUNDO CURSO DE ESPANOL,"JIMENEZ ALARCON, MOISES",PC 4065 J61
67340,1,EL VALLE DE LAS VELAS,"ZEPEDA, CUITLAHUAC ZEPEDA",PQ 7275 Z57
67342,1,HOMBRECITOS,"ALCOTT, LOUISE MAY",PS 1017 A355
67343,1,HOMBRECITOS,"ALCOTT, LOUISE MAY",PS 1017 A355
69920,1,LOS GRANDES PROBLEMAS DE MEXICO,,F 1236 G752
6782,1,TEORiA DE LA PLANIFICACION ECONOMICA,"HORVAT, BRANKO",HB 97.5 H811
69683,1,FiSICA UNIVERSITARIA,"REESE, RONALD LANE",QC 21.2 R329
6735,1,VARIABLES REALES: MEDIDA DE INTEGRACION DE LEBESGU,"SPIEGEL, MURRAY R.",QA 331 S755
69704,1,ESTUDIO DEL TRABAJO : UNA NUEVA VISION,"LOPEZ PERALTA, JULIAN",HD 4811 L864
69144,1,SOLIDWORKS : TEMAS AVANZADOS DE SOLIDWORKS,,TA 174 S686
6971,1,LABORATORY MANUAL FOR FOOD CANNERS AND PROCESSORS,NATIONAL CANNERS ASSOCIATION RESEARCH LABORATORIES,TX 603 N277
69708,1,FUNDAMENTALS OF DATABASE INDEXING AND SEARCHING,"BHATTACHARYA, ARNAB",QA 76.9F5 B575
69707,1,NUMERICAL ALGORITHMS : METHODS FOR COMPUTER VISION,"SOLOMON, JUSTIN",QA 76.9.A43 S689
69706,1,SOFT COMPUTING AND ITS APPLICATIONS : FUZZY REASON,"RAY, KUMAR S.",QA 76.9.S63 R263
6969,1,FOOD ENZYMES : THE FIRST OF A SERIES OF SYMPOSIA O,,TX 569 F686
67344,1,CHARLOTTE BRONTE,"ALBALADEJO VIVERO, CARMEN",PR 4168 A325
69794,1,BIG DATA ANALYSIS FOR BIOINFORMATICS AND BIOMEDICA,,QH 324.2 B592
69792,1,PERFECT SIMULATION,"HUBER, MARK L.",QA 276.6 H877
6734,1,AJUSTE DE CUENTOS : VA DE CUENTO,,PQ 7298.12 A312
6980,1,THE TECHNOLOGY OF FOOD PRESERVATION,"DESROSIER, NORMAN W.",TP 371.2 D474
67381,1,DISMINUCION DE COSTES ENERGETICOS EN LA EMPRESA :,,TD 163.5 D611
69805,1,MECANICA DE MATERIALES,"BEER, FERDINAND P.",TA 405 B415
69804,1,INGENIERiA MECANICA : ESTATICA,"HIBBELER, R.C.",QA 821 H624
69803,1,FiSICA PARA UNIVERSITARIOS,"GIANCOLI, DOUGLAS C.",QC 23 G433
69802,1,MECANICA VECTORIAL PARA INGENIEROS : DINAMICA,HIBBELER R.C.,QA 845 H624
69685,1,FiSICA E INGENIERiA MECANICA,"SERWAY, RAYMOND A.",QC 23.2 S491
69800,1,RESISTENCIA DE MATERIALES,"ORTIZ BERROCAL, LUIS",TA 407.6 O77
6979,1,"FOOD PROCESSING OPERATIONS : THEIR MANAGEMENT, MAC","JOSLYN, MAYNARD",TP 370 J839
698,1,EL SER Y EL TIEMPO,"HEIDEGGER, MARTIN",B 3279.H46 H462
69799,1,FiSICA PARA CIENCIAS E INGENIERiA,"SERWAY, RAYMOND A.",QC 23 S491
69798,1,MECANICA DE MATERIALES,"GERE, JAMES",TA 405 G367
69797,1,MATEMATICAS 4 : ALGEBRA LINEAL,"GROSSMAN S., STANLEY I.",QA 184 G878
69796,1,MATEMATICAS 1 : CALCULO DIFERENCIAL,"ZILL, DENNIS G.",QA 304 Z64
67293,1,AEROSPACE MANUFACTURING PROCESSES,"SAHA, PRADIP K.",TL 671.28 S131
69801,1,MECANICA DE MATERIALES,,TA 405 M486
6974,1,FOOD SCIENCE,"POTTER, NORMAN N.",TP 370 P866
69793,1,MANAGING YOUR BIOLOGICAL DATA WITH PYTHON,"VIA, ALLEGRA",QH 324.2 V598
67290,1,PROYECTO BIOECONOMiA,,HC 79.E5 B615
7598,1,NACIMIENTO DE UNA PEDAGOGiA POPULAR : HISTORIA DE,"FREINET, ELISE",LB 880 F862
6915,1,LA LOGICA DE LAS CIENCIAS : TRATAMIENTO SISTEMATIC,"LARROYO, FRANCISCO",Q 173.B67 L332
6968,1,MILK AND MILK PROCESSING,"HERRINGTON, BARBOUR LAWSON",SF 239 H567
69031,1,AGENDA DE SALUD 2020,"MEXICO, LEYES Y DECRETOS",KGF 3400 M611
73343,1,IMPLEMENTACION DEL MODULO DE ASISTENCIA AL USUARIO,"VALENZUELA ACOSTA, CRISTEL",TESIS INGENIERIA TECNOLOGIAS DE LA INFORMACION Y C
73380,1,FIRESTARTER,"KING, STEPHEN",PS 3561.I483 K521
6736,1,TEORiA Y PROBLEMAS EN CIENCIAS FiSICAS,"BEISER, ARTHUR",QA 19 B422
6973,1,FOOD-BORNE INFECTIONS AND INTOXICATIONS,,RC 143 F686
69791,1,A STUDY OF THE TOYOTA PRODUCTION SYSTEM FROM AN IN,"SHINGO, SHIGEO",TS 157 S556
69795,1,SIGNAL PROCESSING : A MATHEMATICAL APPROACH,"BYRNE, CHARLES",TK 5102.9 B995
69790,1,HUMAN COMPUTER INTERACTION : FUNDAMENTALS AND PRAC,"KIM, GERARD JOUNGHYUN",QA 76.9H85 H491
6978,1,FOOD CHEMISTRY,"AURAND, L.W.",TX 354 A927
6729,1,TEORIA Y PROBLEMAS DE TERMODINAMICA,"ABBOT, MICHAEL",QC 311 A128
67289,1,CLOUD COMPUTING WITH E-SCIENCE APPLICATIONS,,Q 183.9 C647
66003,1,CIENCIAS FISICAS AVANZADAS NUFFIELD,,QC 23 C568
70481,1,EL DESARROLLO DEL PROYECTO,"ASSEMAT HERNANDEZ, RICARDO",HD 30.23 A844
70480,1,FISCO NOMINAS 2020,"MEXICO, LEYES Y DECRETOS",KGF 4584.F5 M611
6786,1,"CAPITALISMO, CRECIMIENTO ECONOMICO Y SUBDESARROLLO","DOBB, MAURICE",HB 501 D632
69038,1,AGENDA LABORAL 2020,"MEXICO, LEYES Y DECRETOS",KGF 1789 M611
6967,1,FOOD RELATED ENZYMES: A SYMPOSIUM,,QD 1 A244
69684,1,INGENIERiA MECANICA : DINAMICA,"SOUTAS LITTLE, ROBERT W.",QA 845 S726
7485,1,ORIENTACION ESCOLAR Y VOCACIONAL,"HILL, GEORGE E.",LB 1027.5 H646
67946,1,HANDBOOK OF POLYMER TESTING : PHYSICAL METHODS,,TA 455.P5 H236
7518,1,PROBLEMAS ECONOMICOS DE MEXICO Y SUSTENTABILIDAD,"MENDEZ MORALES, JOSE SILVESTRE",HC 131.5 M538
68157,1,EXAMINAR LA EVALUACION DE LA DOCENCIA . UN EJERCIC,ANUIES,LB 2331.65 A637
7479,1,LA LEY DE PARKINSON Y OTROS ENSAYOS,"PARKINSON, C. NORTHCOTE",PS 441 P247
68156,1,ENTORNO VIRTUALES DE APRENDIZAJE 2002-2011,ANUIES,LB 2331.65 A637
7480,1,PRINCIPIOS DE ADMINISTRACION DE PERSONAL,"FLIPPO, EDWIN B.",HF 5549 F626
7481,1,INVESTIGACION EN MERCADOTECNIA,"SCHONER, BERTRAM",HF 5415.2 S371
7482,1,ANALISIS Y SIMULACION DE SISTEMAS INDUSTRIALES,"SCHMIDT, J. W.",QA 76.9C65 S352
7491,1,ARDUINO : CURSO PRACTICO DE FORMACION,"TORRENTE ARTERO, OSCAR",TJ 223.P76 T692
7484,1,PLANEACION A LARGO PLAZO,"WARREN, E. KIRBY",HD 30.28 W287
7474,1,CONTROL DE MOTORES ELECTRICOS,"ENRIQUEZ HARPER, GILBERTO",TK 2411 E59
68155,1,"CONVIVENCIA, DISCIPLINA Y VIOLENCIA EN LAS ESCUELA",ANUIES,LB 2331.65 A637
7487,1,DESARROLLO INDUSTRIAL : GUiA PARA ACELERAR EL CREC,"BRYCE, MURRAY D.",HD 2329 B794
7488,1,"DICCIONARIO INGLES-ESPANOL, ESPANOL-INGLES DE TERM","FERNANDEZ COLLADO, JOSE ANTONIO",PE 31 F363
7489,1,ANALISIS QUIMICO CUANTITATIVO,"OROZCO D., FERNANDO",QD 101.2 O63
7475,1,CONTROL NUMERICO Y PROGRAMACION II SISTEMAS DE FAB,"CRUZ TERUEL, FRANCISCO",TJ 1189 C957
7559,1,MEDIDORES DIGITALES : INSTRUMENTACION LINEAL Y DIG,"PERALES BENITO, TOMAS",TK 7817 P426
7516,1,PSYCHOLOGICAL FOUNDATIONS OF EDUCATION,BIGGE. M. L.,LB 1051 B592
7547,1,TELEOPERACION Y TELERROBOTICA,"GOMEZ DE GABRIEL, JESUS MANUEL",TJ 211 G633
7483,1,ADMINISTRACION DE LOS RECURSOS HUMANOS : UN ENFOQU,"KILLIAN, RAY A.",HF 5549 K48
7465,1,SEGURIDAD INDUSTRIAL,,T 55 .A2 S456
66775,1,ADMINISTRACION Y CONTROL DE LA CALIDAD,"EVANS, JAMES R.",TS 156 E92
7512,1,LA REVOLUCION SOCIAL DE MEXICO,"GONZALEZ RAMIREZ, MANUEL",F 1208 G643
7513,1,ESTRATEGIA DINAMICA EN LOS NEGOCIOS : EL ARTE DE P,"SMITH, THEODORE A.",HD 30.28 S662
66774,1,ADMINISTRACION Y CONTROL DE LA CALIDAD,"EVANS, JAMES R.",TS 156 E92
66773,1,MIS MEMORIAS DE CAMPANA,"AGUIRRE, AMADO",F 1234 A284
73369,1,SISTEMA MOVIL DE CONTROL Y PREVENCION DE ACCIDENTE,"SANTILLON MEJiA, ADRIANA",TESIS TECNOLOGiAS DE LA INFORMACION Y COMUNICACION
7502,1,TECNICAS DE LABORATORIO PARA EL ANALISIS DE ALIMEN,"PEARSON, D.",TX 545 P361
68158,1,DIAGNOSTICO DE LA EDUCACION SUPERIOR A DISTANCIA :,ANUIES,LB 2331.65 A637
7476,1,FUNDAMENTOS DE TERMODINAMICA,"LEVENSPIEL, OCTAVE",QC 311 L657
7464,1,SEGURIDAD INDUSTRIAL,,T 55 .A2 S456
755,1,FISICOQUIMICA,"CASTELAN, GILBERT W.",QD 453.2 C348
7466,1,SEGURIDAD INDUSTRIAL,,T 55 .A2 S456
7468,1,ADIESTRAMIENTO DE SEGURIDAD INDUSTRIAL PARA SEPERV,,T 55 .A2 A235
7469,1,ARDUINO : CURSO PRACTICO DE FORMACION,"TORRENTE ARTERO, OSCAR",TJ 223.P76 T692
747,1,HISTORIA DEL PENSAMIENTO SOCIALISTA,"COLE, G.D.H.",HX 21 C689
68159,1,ESTADO DE LA EDUCACION SUPERIOR EN AMERICA LATINA,ANUIES,LB 2331.65 A637
7471,1,LA DINAMICA DEL COMPORTAMIENTO DE GRUPOS,"REEVES, ELTON T.",HM 131 R332
7472,1,INTRODUCCION AL ANALISIS MODERNO,,QA 297 I61
7473,1,ECONOMiA FUNDAMENTAL,"HAILSTONES, THOMAS J.",HB 171.5 H151
7463,1,SEGURIDAD INDUSTRIAL,,T 55 .A2 S456
7524,1,CREDITOS Y COBRANZAS,"SEDER, JOHN W.",HG 3705 S447
6675,1,THE ELEMENTARY FUNCTIONS,"FLEENOR, CHARLES R.",QA 331.3 F594
6809,1,COLIBRi,,PQ 7298.12 C696
7557,1,BIOQUIMICA PRACTICA,"PLUMMER, DAVID T.",QP 514.2 P735
71449,1,SISTEMA DE VACiO PARA DESMOLDAR PIEZAS,"CASILLAS MARTiNEZ, ABRAHAM DANIEL",TESIS ELECTROMECANICA 616
7519,1,TECNOLOGIAS DE LA INFORMACION,,T 58.7 T255
66772,1,MEMORIA DE LA SECRETARIA DE GOBERNACION,"ACUNA, JESUS",F 1234 A189
66771,1,BREVE RESENA HISTORICA DE LOS ACONTECIMIENTOS MAS,"TORNEL Y MENDIVIL, JOSE MARiA",F 1223 T685
66770,1,MEXICO REVOLUCIONARIO,"BRECEDA, ALFREDO",F 1234 B829
7548,1,ADMINISTRACION DE EMPRESAS CONSTRUCTORAS,"SUAREZ SALAZAR, CARLOS",TH 435 S939
66769,1,HISTORIA DEL EJERCITO Y DE LA REVOLUCION CONSTITUC,"BARRAGAN RODRIGUEZ, JUAN",F 1234 B268
7567,1,INGENIERiA BIOQUiMICA : TEORiA Y APLICACIONES,"QUINTERO RAMiREZ, RODOLFO",TP 248.65 Q7
7525,1,METODO JURAN : ANALISIS Y PLANEACION DE LA CALIDAD,,TS 156.A2 J91
66768,1,DE PORFIRIO DIAZ A FRANCISCO I MADERO,"LARA PARDO, LUIS",F 1234 L318
7527,1,MEMORIAS DEL CONGRESO NACIONAL DE MIGRACION,CONGRESO NACIONAL DE MIGRACION,JV 7398 M53
7528,1,QUIMICA DE LA MATERIA,"PIERCE, JAMES B.",QD 31.2 P616
7529,1,ELEMENTOS DE DISENO DE SUBESTACIONES ELECTRICAS,"ENRIQUEZ HARPER, GILBERTO",TK 1191 E59
66760,1,DICCIONARIO BIGRAFICO REVOLUCIONARIO,"NARANJO, FRANCISCO",F 1205 N218
7530,1,INTRODUCCION AL ANALISIS EN INGENIERIA QUIMICA,"RUSSELL, T. W. F.",TP 165 R967
7571,1,"VIOLENCIA, MEDIOS Y COMUNICACION : OTRAS PISTAS EN","BONILLA VELEZ, JORGE IVAN",HN 310 B715
7522,1,INTRODUCCION A LA ESTADiSTICA APLICADA A LAS CIENC,"YOUNG, ROBERT K.",BF 39 Y72
7544,1,ANDROID : PROGRAMACION DE DISPOSITIVOS MOVILES A T,"AMARO SORIANO, JOSE ENRIQUE",QA 76.76.A65 A485
7509,1,LA EXPROPIACION PETROLERA,,HD 9560.9.M11 E56
7550,1,EL ENFOQUE DE SISTEMAS,"CHURCHMAN, C. WEST",TA 168 C562
6676,1,EL INGENIERO,,AE 61 T583
66759,1,LA REVOLUCION MEXICANA : MI CONTRIBUCION POLiTICO-,"GONZALEZ GARZA, FEDERICO",F 1234 G643
7553,1,ELEMENTOS DE ASTRONOMIA DEPOSICION,"MEDINA PERALTA, MANUEL",QB 43.2 M491
66758,1,LA REVOLUCION AGRARIA EN MEXICO,"MOLINA ENRIQUEZ, ANDRES",HD 325 M722
7555,1,TERMODINAMICA PARA INGENIEROS,"BALZHISER, RICHARD E.",QC 311 B198
66757,1,QUiMICA : LA CIENCIA CENTRAL,"BROWN, THEODORE L.",QD 31.2 B881
7569,1,DERECHO PENAL MEXICANO : LOS DELITOS,"GONZALEZ DE LA VEGA, FRANCISCO",K 5014.4 G643
66756,1,QUiMICA : LA CIENCIA CENTRAL,"BROWN, THEODORE L.",QD 31.2 B881
66750,1,COMO PROGRAMAR EN CC++ Y JAVA,DEITEL M. HARVEY,QA 76.73C D325
6821,1,GEOLOGIA FISICA,"LONGWELL, CHESTER R.",QE 28.2 L848
7560,1,ANDROID : PROGRAMACION DE DISPOSITIVOS MOVILES A T,"AMARO SORIANO, JOSE ENRIQUE",QA 76.76.A65 A485
67929,1,LABERINTOS Y ENJUEGOS: (RE) ENCUENTROS CON EDUARDO,ANUIES,LB 2331.65 A637
7562,1,SIMPLIFICA EL FLASH ELECTRiNICO : UNA VISION ACTUA,"GOWLAND, PETER",TR 606 G722
7563,1,ANDROID : PROGRAMACION DE DISPOSITIVOS MOVILES A T,"AMARO SORIANO, JOSE ENRIQUE",QA 76.76.A65 A485
66754,1,ELECTRONICA: TEORiA DE CIRCUITOS Y DISPOSITIVOS EL,"BOYLESTAD, ROBERT",TK 7867 B792
66753,1,COMO PROGRAMAR EN CC++ Y JAVA,DEITEL M. HARVEY,QA 76.73C D325
66751,1,COMO PROGRAMAR EN CC++ Y JAVA,DEITEL M. HARVEY,QA 76.73C D325
7549,1,AUTOCAD 12,"RAKER, DANIEL",QA 76.758 R151
7545,1,MANUAL INTERNACIONAL DE COMPUTACION,"STERN, ROBERT A.",QA 76.5 S839
7698,1,CINETICA QUiMICA PARA LOS SISTEMAS HOMOGENEOS,"ANCHEYTA JUAREZ, JORGE",QD 502 A539
